store_name,product_name,total_unidades_vendidas,stock_actual_en_tienda
Baldwin Bikes,Surly Ice Cream Truck Frameset - 2016,113,11
Baldwin Bikes,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,111,12
Baldwin Bikes,Electra Cruiser 1 (24-Inch) - 2016,107,1
Baldwin Bikes,Electra Townie Original 7D EQ - 2016,107,20
Baldwin Bikes,Electra Townie Original 21D - 2016,105,2
Baldwin Bikes,Electra Cruiser 1 (24-Inch) - 2016,104,16
Baldwin Bikes,Electra Townie Original 7D - 2015/2016,103,18
Baldwin Bikes,Trek Slash 8 27.5 - 2016,101,8
Baldwin Bikes,Surly Straggler 650b - 2016,101,21
Baldwin Bikes,Surly Straggler - 2016,100,13
Rowlett Bikes,Electra Cruiser 1 (24-Inch) - 2016,24,19
Rowlett Bikes,Trek Fuel EX 8 29 - 2016,21,11
Rowlett Bikes,Trek Slash 8 27.5 - 2016,21,12
Rowlett Bikes,Surly Ice Cream Truck Frameset - 2016,20,27
Rowlett Bikes,Electra Townie Original 21D - 2016,19,30
Rowlett Bikes,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,18,20
Rowlett Bikes,Electra Cruiser 1 (24-Inch) - 2016,17,8
Rowlett Bikes,Surly Wednesday Frameset - 2016,16,0
Rowlett Bikes,Electra Townie Original 7D EQ - 2016,16,19
Rowlett Bikes,Pure Cycles Western 3-Speed - Women's - 2015/2016,16,5
Santa Cruz Bikes,Electra Moto 1 - 2016,50,3
Santa Cruz Bikes,Trek Conduit+ - 2016,39,11
Santa Cruz Bikes,Surly Straggler 650b - 2016,38,8
Santa Cruz Bikes,Surly Straggler - 2016,36,15
Santa Cruz Bikes,Ritchey Timberwolf Frameset - 2016,34,5
Santa Cruz Bikes,Surly Wednesday Frameset - 2016,34,6
Santa Cruz Bikes,Surly Ice Cream Truck Frameset - 2016,34,0
Santa Cruz Bikes,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,34,29
Santa Cruz Bikes,Electra Townie Original 7D - 2015/2016,34,10
Santa Cruz Bikes,Trek Remedy 29 Carbon Frameset - 2016,33,0
